feature,importance
skill_match_ratio,0.609982927950665
distance_score,0.10153353095540618
distance_km,0.09900137382670883
time_compatibility,0.050428676391831566
availability_hours,0.018942814734899872
task_points_norm,0.018137420304705637
task_points_possible,0.0151161380529797
volunteer_aicte_points,0.01464064373881772
willingness_score,0.013370969373067018
volunteer_aicte_norm,0.013135673542546238
ngo_reputation,0.010793935349575519
reliability_score,0.010154314771622996
fairness_score,0.009441110646978824
task_difficulty,0.005513039404547495
urgency_score,0.005297087810510141
urgency_level,0.004510343145137392
